target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.95,split_conformal_source_calibration,1146,0.9458987783595113,-0.00410122164048865,1.3717277486910995,0.7290076335877863,0.6282722513089005,0.0,1.0,0.693069306930693
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.95,adaptive_transport_conformal,1146,0.9458987783595113,-0.00410122164048865,1.3717277486910995,0.7290076335877863,0.6282722513089005,0.0,1.0,0.693069306930693
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.8,split_conformal_source_calibration,384,0.5755208333333334,-0.22447916666666667,0.8619791666666666,1.1601208459214503,0.8619791666666666,0.13802083333333334,0.884,0.0
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,384,0.5755208333333334,-0.22447916666666667,0.8645833333333334,1.1566265060240963,0.8645833333333334,0.13541666666666666,0.884,0.0
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.9,split_conformal_source_calibration,384,0.640625,-0.259375,0.9817708333333334,1.0185676392572944,0.9817708333333334,0.018229166666666668,0.984,0.0
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.9,adaptive_transport_conformal,384,0.6432291666666666,-0.2567708333333334,0.984375,1.0158730158730158,0.984375,0.015625,0.988,0.0
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.95,split_conformal_source_calibration,384,0.6953125,-0.25468749999999996,1.1067708333333333,0.9035294117647059,0.8932291666666666,0.0,1.0,0.12686567164179105
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,0.95,adaptive_transport_conformal,384,0.7005208333333334,-0.24947916666666659,1.125,0.8888888888888888,0.875,0.0,1.0,0.1417910447761194
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,0.8,split_conformal_source_calibration,384,0.19791666666666666,-0.6020833333333334,0.21875,4.571428571428571,0.21875,0.78125,0.304,0.0
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,0.8,adaptive_transport_conformal,384,0.25,-0.55,0.28125,3.5555555555555554,0.28125,0.71875,0.384,0.0
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,0.9,split_conformal_source_calibration,384,0.4869791666666667,-0.41302083333333334,0.6927083333333334,1.443609022556391,0.6927083333333334,0.3072916666666667,0.704,0.08208955223880597
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,0.9,adaptive_transport_conformal,384,0.5416666666666666,-0.3583333333333334,0.8151041666666666,1.2268370607028753,0.8151041666666666,0.18489583333333334,0.752,0.14925373134328357
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,0.95,split_conformal_source_calibration,384,0.9583333333333334,0.008333333333333415,1.6614583333333333,0.6018808777429467,0.3385416666666667,0.0,1.0,0.8805970149253731
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,0.95,adaptive_transport_conformal,384,0.953125,0.0031250000000000444,1.6536458333333333,0.6047244094488189,0.3463541666666667,0.0,1.0,0.8656716417910447
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.8,split_conformal_source_calibration,384,0.2786458333333333,-0.5213541666666668,0.3203125,3.1219512195121952,0.3203125,0.6796875,0.424,0.007462686567164179
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,0.8,adaptive_transport_conformal,384,0.2864583333333333,-0.5135416666666668,0.3307291666666667,3.0236220472440944,0.3307291666666667,0.6692708333333334,0.432,0.014925373134328358
