target_dataset,feature_set,model,scenario,calibration_method,conformal_method,equal_opportunity_difference,calibration_difference,coverage_gap_between_groups,reliability_gap
Pima,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.5560523794314916,0.02580864353358353,0.04151404151404148,0.5560523794314916
Pima,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,0.5560523794314916,0.02580864353358353,0.04151404151404148,0.5560523794314916
Pima,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.19738102842542316,0.0797010946477485,0.1388888888888889,0.19738102842542316
Pima,model_b_routine_clinical,XGBoost,fixed_recalibration,temperature,adaptive_transport_conformal,0.0,0.07022142442882594,0.0,0.07022142442882594
Pima,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.0,0.10604438800552474,0.25702075702075705,0.25702075702075705
Pima,model_c_extended_transport,CatBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.3359948898115618,0.06837966440338437,0.1646825396825397,0.3359948898115618
Pima,model_c_extended_transport,CatBoost,fixed_recalibration,isotonic,adaptive_transport_conformal,0.3359948898115618,0.06837966440338437,0.1646825396825397,0.3359948898115618
Pima,model_c_extended_transport,CatBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.0,0.09937839010038374,0.2951770451770452,0.2951770451770452
Pima,model_c_extended_transport,LightGBM,adaptive_calibration,isotonic,adaptive_transport_conformal,0.3902906419674225,0.007831411439697594,0.006009615384615308,0.3902906419674225
Pima,model_c_extended_transport,LightGBM,fixed_recalibration,temperature,adaptive_transport_conformal,0.21877994251038005,0.06168325823231671,0.23748473748473747,0.23748473748473747
Pima,model_c_extended_transport,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.21877994251038005,0.05395809123601847,0.14300976800976806,0.21877994251038005
Pima,model_c_extended_transport,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,0.22708399872245288,0.12338034193170803,0.09935897435897445,0.22708399872245288
Pima,model_c_extended_transport,Logistic Regression,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.3209837112743532,0.05141833646507983,0.0708180708180709,0.3209837112743532
Pima,model_c_extended_transport,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.3209837112743532,0.05141833646507983,0.0708180708180709,0.3209837112743532
Pima,model_c_extended_transport,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,0.4056212072820185,0.12438991843092104,0.004006410256410242,0.4056212072820185
Pima,model_c_extended_transport,Random Forest,fixed_recalibration,uncalibrated,adaptive_transport_conformal,0.5164484190354519,0.03087012267116586,0.028846153846153855,0.5164484190354519
Pima,model_c_extended_transport,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,0.5164484190354519,0.03087012267116586,0.028846153846153855,0.5164484190354519
Pima,model_c_extended_transport,XGBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.18748003832641325,0.10621207693724324,0.15125152625152624,0.18748003832641325
Pima,model_c_extended_transport,XGBoost,fixed_recalibration,temperature,adaptive_transport_conformal,0.0,0.060648465957858055,0.0,0.060648465957858055
Pima,model_c_extended_transport,XGBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.0,0.09407370973852125,0.26022588522588525,0.26022588522588525
