target_dataset,feature_set,model,scenario,calibration_method,conformal_method,subgroup,level,n,roc_auc,ece,coverage,prediction_set_size,sensitivity,specificity,false_positive_rate,false_negative_rate
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Middle,428,0.8051005747126437,0.3365661385717991,0.6401869158878505,1.144859813084112,0.9,0.4885057471264368,0.5114942528735632,0.1
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Unknown,150,0.7215277777777778,0.3113730615251475,0.6466666666666666,1.1866666666666668,0.8666666666666667,0.475,0.525,0.13333333333333333
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,age_group,20-44,428,0.827883148027033,0.027416163677800868,0.9742990654205608,1.0,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,age_group,45-64,416,0.6624666785143061,0.025118839020044588,0.7067307692307693,0.8581730769230769,0.047058823529411764,0.9879154078549849,0.012084592145015106,0.9529411764705882
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,age_group,65+,302,0.6291875240662302,0.08447834128303722,0.5463576158940397,0.7947019867549668,0.08490566037735849,0.9489795918367347,0.05102040816326531,0.9150943396226415
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,sex,Female,590,0.7624369798943084,0.014142862387582566,0.7677966101694915,0.8915254237288136,0.04950495049504951,0.9897750511247444,0.010224948875255624,0.9504950495049505
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,sex,Male,556,0.8059732346861059,0.04503728830636408,0.7607913669064749,0.8974820143884892,0.07920792079207921,0.9802197802197802,0.01978021978021978,0.9207920792079208
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,race,Mexican American,161,0.7733471074380166,0.09857551410839388,0.7267080745341615,0.9130434782608695,0.025,0.9917355371900827,0.008264462809917356,0.975
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic Asian,147,0.8296070460704608,0.0590512172259755,0.8231292517006803,0.9863945578231292,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic Black,281,0.7476873265494912,0.0528817876985233,0.7473309608540926,0.8576512455516014,0.06521739130434782,0.9787234042553191,0.02127659574468085,0.9347826086956522
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic White,402,0.8012782469755764,0.03952065962831087,0.7661691542288557,0.8805970149253731,0.09230769230769231,0.9762611275964391,0.02373887240356083,0.9076923076923077
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,race,Other Hispanic,94,0.770042194092827,0.038472069499306004,0.776595744680851,0.8936170212765957,0.06666666666666667,1.0,0.0,0.9333333333333333
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,race,Other/Multi-racial,61,0.8758503401360545,0.05556960743528029,0.7704918032786885,0.8852459016393442,0.16666666666666666,1.0,0.0,0.8333333333333334
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,socioeconomic_status,High,309,0.7627799227799228,0.019346579299427485,0.7702265372168284,0.8996763754045307,0.02,0.9922779922779923,0.007722007722007722,0.98
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Low,259,0.8065064735571648,0.0507511963278018,0.7992277992277992,0.9227799227799228,0.11904761904761904,1.0,0.0,0.8809523809523809
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Middle,428,0.7992995689655172,0.05623583150730116,0.7476635514018691,0.8714953271028038,0.075,0.9712643678160919,0.028735632183908046,0.925
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Unknown,150,0.7305555555555555,0.05262190239845798,0.74,0.9,0.03333333333333333,0.9833333333333333,0.016666666666666666,0.9666666666666667
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,20-44,428,0.827883148027033,0.027416163677800868,0.9742990654205608,1.0,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,45-64,416,0.6624666785143061,0.025118839020044588,0.7067307692307693,0.8581730769230769,0.047058823529411764,0.9879154078549849,0.012084592145015106,0.9529411764705882
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,65+,302,0.6291875240662302,0.08447834128303722,0.5463576158940397,0.7947019867549668,0.08490566037735849,0.9489795918367347,0.05102040816326531,0.9150943396226415
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,sex,Female,590,0.7624369798943084,0.014142862387582566,0.7677966101694915,0.8915254237288136,0.04950495049504951,0.9897750511247444,0.010224948875255624,0.9504950495049505
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,sex,Male,556,0.8059732346861059,0.04503728830636408,0.7607913669064749,0.8974820143884892,0.07920792079207921,0.9802197802197802,0.01978021978021978,0.9207920792079208
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Mexican American,161,0.7733471074380166,0.09857551410839388,0.7267080745341615,0.9130434782608695,0.025,0.9917355371900827,0.008264462809917356,0.975
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic Asian,147,0.8296070460704608,0.0590512172259755,0.8231292517006803,0.9863945578231292,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic Black,281,0.7476873265494912,0.0528817876985233,0.7473309608540926,0.8576512455516014,0.06521739130434782,0.9787234042553191,0.02127659574468085,0.9347826086956522
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic White,402,0.8012782469755764,0.03952065962831087,0.7661691542288557,0.8805970149253731,0.09230769230769231,0.9762611275964391,0.02373887240356083,0.9076923076923077
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Other Hispanic,94,0.770042194092827,0.038472069499306004,0.776595744680851,0.8936170212765957,0.06666666666666667,1.0,0.0,0.9333333333333333
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Other/Multi-racial,61,0.8758503401360545,0.05556960743528029,0.7704918032786885,0.8852459016393442,0.16666666666666666,1.0,0.0,0.8333333333333334
