target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp,change_from_internal_auc,change_from_naive_auc,marginal_coverage,average_prediction_set_size,mean_psi,reliability_gap,performance_component,calibration_component,uncertainty_component,distribution_shift_component,fairness_component,transport_reliability_score
NHANES,model_c_extended_transport,XGBoost,adaptive_calibration,isotonic,1146,0.9222342255411983,0.7398918319777127,0.9109947643979057,0.7808988764044944,0.6881188118811881,0.9586864406779662,0.7315789473684211,0.06981561638517114,0.2537350044040317,0.012225461196618307,0.3717867382082585,0.8999350368951499,-0.015255740083569981,905,39,63,139,-0.05446688455039672,-0.002509334619902659,0.7521815008726004,0.7905759162303665,1.5453706015718196,0.39620597883270414,0.9222342255411983,0.9877745388033817,0.8357572231917781,0.0,0.6037940211672959,0.6699120017407308
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,1146,0.7754709263299212,0.401583663379749,0.8254799301919721,0.625,0.024752475247524754,0.996822033898305,0.047619047619047616,0.1250311562018157,0.3893320086671307,0.017330723857221644,0.1414351490310849,1.218436439814555,0.262177100615733,941,3,197,5,-0.04799783746045427,0.0,0.8150087260034904,0.9773123909249564,1.5453706015718196,0.3305533205421798,0.7754709263299212,0.9826692761427783,0.9055652511149893,0.0,0.6694466794578202,0.6666304266091018
NHANES,model_a_screening,CatBoost,fixed_recalibration,beta,1146,0.7743460521899648,0.40080895748783696,0.8237347294938918,0.0,0.0,1.0,0.0,0.1253519693808742,0.39074192555762566,0.016106824875685127,0.11985102229681088,1.1921385812215322,0.25202023065710244,944,0,202,0,-0.051092195853819966,0.0,0.8176265270506108,0.9808027923211169,1.5453706015718196,0.3352262177384415,0.7743460521899648,0.9838931751243148,0.9084739189451231,0.0,0.6647737822615585,0.6662973857041922
NHANES,model_a_screening,LightGBM,fixed_recalibration,beta,1146,0.7760084535995972,0.4075710959085661,0.8263525305410122,0.8,0.019801980198019802,0.9989406779661016,0.03864734299516908,0.12516965023420834,0.39058758958064466,0.018155695764187345,0.2884776634751991,1.127712403453745,0.16712463262832872,943,1,198,4,-0.03986978478419767,0.0,0.8132635253054101,0.974694589877836,1.5453706015718196,0.33853747601658724,0.7760084535995972,0.9818443042358127,0.9036261392282334,0.0,0.6614625239834128,0.6645882842094113
NHANES,model_a_screening,LightGBM,adaptive_calibration,isotonic,1146,0.7735908919281758,0.3717529091059392,0.8272251308900523,0.55,0.10891089108910891,0.9809322033898306,0.18181818181818182,0.12494452905830332,0.3969384651662033,0.007918627737110618,0.03506927854753944,0.9090005340407198,-0.08511819800712156,926,18,180,22,-0.04228734645561916,-0.0024175616714214865,0.8080279232111692,0.9650959860383944,1.5453706015718196,0.3517825091291701,0.7735908919281758,0.9920813722628894,0.8978088035679658,0.0,0.6482174908708299,0.6623397117259722
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,1146,0.7665532178217822,0.36885906058501294,0.8272251308900523,0.5625,0.0891089108910891,0.9851694915254238,0.15384615384615385,0.12568679697718232,0.3984204543753346,0.006705348095003498,0.022907250842633564,0.881131733899566,-0.12294989411359547,930,14,184,18,-0.056034862315771705,-0.0024332941768754335,0.8115183246073299,0.9720767888307156,1.5453706015718196,0.3550937674073157,0.7665532178217822,0.9932946519049966,0.9016870273414777,0.0,0.6449062325926843,0.6612882259321882
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,1146,0.7689865119986576,0.40183128380570243,0.824607329842932,1.0,0.0049504950495049506,1.0,0.009852216748768473,0.12608437909971507,0.39329053628067245,0.014315660992064131,0.4958121198602282,1.1065451843003105,0.15309587343663408,944,0,201,1,-0.05360156813889627,0.0,0.81239092495637,0.974694589877836,1.5453706015718196,0.3517825091291701,0.7689865119986576,0.9856843390079358,0.9026565832848555,0.0,0.6482174908708299,0.6611089850324559
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,1146,0.7743460521899648,0.40080895748783696,0.8307155322862129,0.6818181818181818,0.07425742574257425,0.9925847457627118,0.13392857142857142,0.12496559572579408,0.390297570200411,0.019499972845877796,0.25852941426867315,0.9571938818712776,0.05477473163603001,937,7,187,15,-0.051092195853819966,0.0,0.8097731239092496,0.9659685863874345,1.5453706015718196,0.3584050256854614,0.7743460521899648,0.9805000271541222,0.8997479154547218,0.0,0.6415949743145386,0.6592377938226696
NHANES,model_a_screening,CatBoost,adaptive_calibration,isotonic,1146,0.7624784989092128,0.3566669645055197,0.8289703315881326,0.6,0.0891089108910891,0.9872881355932204,0.15517241379310345,0.12687101418605712,0.40227141095862967,0.012644930058042111,0.09999999999999998,0.8674664076301056,-0.13676883621266103,932,12,184,18,-0.06295974913457192,-0.011867553280751952,0.8071553228621291,0.962478184991274,1.5453706015718196,0.3617162839636071,0.7624784989092128,0.9873550699419579,0.8968392476245879,0.0,0.6382837160363929,0.6569913065024303
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration,isotonic,1146,0.9229710312132906,0.7392947989466581,0.9109947643979057,0.7777777777777778,0.693069306930693,0.9576271186440678,0.7329842931937173,0.06923570882124301,0.25393431241171527,0.01737509248491169,0.1315230381906245,0.8960052480640764,-0.03644413299503155,904,40,62,140,-0.05390467848652314,-0.0029786876992785594,0.7164048865619547,0.7478184991273996,1.5453706015718196,0.41978708918734914,0.9229710312132906,0.9826249075150884,0.796005429513283,0.0,0.5802129108126508,0.6563628558108625
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,1146,0.7689865119986576,0.40183128380570243,0.8263525305410122,0.5454545454545454,0.0891089108910891,0.9841101694915254,0.15319148936170213,0.12608712911605835,0.3946073833870859,0.02124004116640255,0.1203695009736454,0.8627300951888931,-0.05318031320952196,929,15,184,18,-0.05360156813889627,0.0,0.8036649214659686,0.9589877835951134,1.5453706015718196,0.3617162839636071,0.7689865119986576,0.9787599588335975,0.8929610238510761,0.0,0.6382837160363929,0.6557982421439449
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,1146,0.7726941391173016,0.37038583999088737,0.8272251308900523,0.7,0.034653465346534656,0.996822033898305,0.0660377358490566,0.12518126557296988,0.39638570476335494,0.014620016411678842,0.19999999999999996,0.9444889535404444,-0.052326776142098935,941,3,195,7,-0.05077462467307392,-0.002776787212619647,0.7923211169284468,0.9389179755671903,1.5453706015718196,0.40106455406325436,0.7726941391173016,0.9853799835883211,0.880356796587163,0.0,0.5989354459367456,0.6474732730459063
Pima,model_c_extended_transport,Logistic Regression,naive_transfer,uncalibrated,384,0.8059402985074627,0.6352244772672029,0.7213541666666666,0.6483516483516484,0.44029850746268656,0.872,0.5244444444444445,0.18132726821031206,0.5346049468185118,0.09725867953412216,0.36112284117744475,0.7516690453085497,0.20163087736091304,218,32,75,59,-0.15362875898427653,0.0,0.7473958333333334,1.0520833333333333,1.8972527335712026,0.3209837112743532,0.8059402985074627,0.9027413204658779,0.8304398148148149,0.0,0.6790162887256468,0.6436275445027604
