target_dataset,feature_set,model,scenario,calibration_method,metric,estimate,ci_95_lower,ci_95_upper,bootstrap_repeats
Pima,model_a_screening,LightGBM,naive_transfer,uncalibrated,coverage,0.6046276041666666,0.5546875,0.6484375,1000
Pima,model_a_screening,LightGBM,fixed_recalibration,beta,roc_auc,0.6813748208955224,0.627269776119403,0.7362910447761195,1000
Pima,model_a_screening,LightGBM,fixed_recalibration,beta,brier_score,0.20919560161290576,0.19542106471848386,0.22306227165875553,1000
Pima,model_a_screening,LightGBM,fixed_recalibration,beta,ece,0.07099680454767,0.037075789552912505,0.10912923513296094,1000
Pima,model_a_screening,LightGBM,fixed_recalibration,beta,coverage,0.5599609375,0.5233723958333334,0.5989583333333334,1000
Pima,model_a_screening,LightGBM,adaptive_calibration,isotonic,roc_auc,0.6797578507462687,0.6240059701492537,0.7334298507462687,1000
Pima,model_a_screening,LightGBM,adaptive_calibration,isotonic,brier_score,0.2102736128343156,0.19512728066672377,0.22629042941755032,1000
Pima,model_a_screening,LightGBM,adaptive_calibration,isotonic,ece,0.07444291252538696,0.04261787680418594,0.1138343023405601,1000
Pima,model_a_screening,LightGBM,adaptive_calibration,isotonic,coverage,0.5366901041666666,0.5,0.5729817708333332,1000
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,roc_auc,0.7742945282346031,0.7420673429895956,0.806281661667226,1000
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,brier_score,0.12498634951859457,0.11913630823483624,0.1310003467813891,1000
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,ece,0.026228803319776953,0.01475620006679717,0.04065628821774814,1000
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,coverage,0.8095349040139616,0.7993019197207679,0.819371727748691,1000
NHANES,model_a_screening,CatBoost,fixed_recalibration,beta,roc_auc,0.7742945282346031,0.7420673429895956,0.806281661667226,1000
NHANES,model_a_screening,CatBoost,fixed_recalibration,beta,brier_score,0.12537237825295938,0.12094466607125491,0.12988656896170747,1000
NHANES,model_a_screening,CatBoost,fixed_recalibration,beta,ece,0.023203001017727785,0.011138918032954291,0.03772586998293276,1000
NHANES,model_a_screening,CatBoost,fixed_recalibration,beta,coverage,0.8176675392670156,0.8132417102966841,0.8211387434554974,1000
NHANES,model_a_screening,CatBoost,adaptive_calibration,isotonic,roc_auc,0.7623423157199195,0.7308731409422722,0.7936752705990939,1000
NHANES,model_a_screening,CatBoost,adaptive_calibration,isotonic,brier_score,0.12689950891581786,0.12177269270961016,0.1319602804899789,1000
NHANES,model_a_screening,CatBoost,adaptive_calibration,isotonic,ece,0.018552132246762144,0.006553819462424119,0.03494467856955792,1000
NHANES,model_a_screening,CatBoost,adaptive_calibration,isotonic,coverage,0.8070253054101222,0.7993019197207679,0.8141361256544503,1000
Pima,model_a_screening,CatBoost,naive_transfer,uncalibrated,roc_auc,0.709103447761194,0.6547335820895521,0.7578619402985073,1000
Pima,model_a_screening,CatBoost,naive_transfer,uncalibrated,brier_score,0.29273656657532626,0.28217318217450077,0.3022266137233074,1000
Pima,model_a_screening,CatBoost,naive_transfer,uncalibrated,ece,0.2804004645752234,0.2688248020330225,0.2920048002459076,1000
Pima,model_a_screening,CatBoost,naive_transfer,uncalibrated,coverage,0.6460677083333334,0.6380208333333334,0.6510416666666666,1000
Pima,model_a_screening,CatBoost,fixed_recalibration,beta,roc_auc,0.709103447761194,0.6547335820895521,0.7578619402985073,1000
Pima,model_a_screening,CatBoost,fixed_recalibration,beta,brier_score,0.20585669307432466,0.19242475251199045,0.22029966062357723,1000
Pima,model_a_screening,CatBoost,fixed_recalibration,beta,ece,0.10636393766342764,0.07143145785166063,0.1436612668433058,1000
Pima,model_a_screening,CatBoost,fixed_recalibration,beta,coverage,0.5622447916666667,0.5260416666666666,0.5990234375,1000
Pima,model_a_screening,CatBoost,adaptive_calibration,isotonic,roc_auc,0.690024119402985,0.6387858208955224,0.7366444029850745,1000
Pima,model_a_screening,CatBoost,adaptive_calibration,isotonic,brier_score,0.20522410922397097,0.19036824604713806,0.2212671477861906,1000
Pima,model_a_screening,CatBoost,adaptive_calibration,isotonic,ece,0.07412008758857735,0.04198909630589701,0.1135016668183522,1000
Pima,model_a_screening,CatBoost,adaptive_calibration,isotonic,coverage,0.5731067708333334,0.5390625,0.609375,1000
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,roc_auc,0.9424205193824466,0.924278533520725,0.9597304235190468,1000
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,brier_score,0.08219146250218837,0.07158705522665453,0.09263820735712756,1000
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,ece,0.09419296529189757,0.08082341525173634,0.10687901651031863,1000
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,coverage,0.9066256544502618,0.8909249563699826,0.9223385689354275,1000
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,roc_auc,0.9424207029283437,0.9242531648556807,0.959730423519047,1000
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,brier_score,0.08219146081040835,0.07158705522666682,0.09263819910139091,1000
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,ece,0.0941929527042202,0.08082340250156682,0.10687900461359076,1000
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,coverage,0.9066256544502618,0.8909249563699826,0.9223385689354275,1000
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,roc_auc,0.938465632341836,0.9189337425532808,0.9568182712074174,1000
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,brier_score,0.06709162358620632,0.058052952112370784,0.07612269118485547,1000
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,ece,0.02536370996524763,0.014984071565121203,0.03740866606339152,1000
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,coverage,0.9106701570680628,0.8952879581151832,0.924956369982548,1000
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,roc_auc,0.8058871940298508,0.7622649253731344,0.845694776119403,1000
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,brier_score,0.18132492192960506,0.15943843082084436,0.2031352465909391,1000
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,ece,0.10640658175230873,0.07772887866383808,0.13967703484118507,1000
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,coverage,0.7476015625,0.7083333333333334,0.7864583333333334,1000
Pima,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,roc_auc,0.8058871940298508,0.7622649253731344,0.845694776119403,1000
Pima,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,brier_score,0.18132492192960506,0.15943843082084436,0.2031352465909391,1000
Pima,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,ece,0.10640658175230873,0.07772887866383808,0.13967703484118507,1000
Pima,model_b_routine_clinical,Logistic Regression,fixed_recalibration,uncalibrated,coverage,0.7476015625,0.7083333333333334,0.7864583333333334,1000
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,roc_auc,0.8015672985074628,0.757154104477612,0.8416705223880596,1000
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,brier_score,0.17225928596398454,0.15271940185119137,0.1930288074642742,1000
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,ece,0.05373061655724899,0.02570072015195836,0.08911329955441276,1000
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration,isotonic,coverage,0.7395911458333334,0.6953125,0.78125,1000
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,roc_auc,0.9265932937573418,0.9066464591374392,0.9457598275717402,1000
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,brier_score,0.08815642636397387,0.07627823981349209,0.09938476064516233,1000
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,ece,0.07963164947813328,0.06641045943729924,0.09303462626869374,1000
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,coverage,0.8698734729493892,0.8516579406631762,0.8883071553228621,1000
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,roc_auc,0.9265932937573418,0.9066464591374392,0.9457598275717402,1000
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,brier_score,0.08815642636397387,0.07627823981349209,0.09938476064516233,1000
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,ece,0.07963164947813328,0.06641045943729924,0.09303462626869374,1000
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,coverage,0.8698734729493892,0.8516579406631762,0.8883071553228621,1000
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,roc_auc,0.9226412516781338,0.9011870175364994,0.9421031999916094,1000
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,brier_score,0.07285238054757985,0.06383210485051172,0.08198901097424062,1000
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,ece,0.022942430525303006,0.013141207845809667,0.034337332285694466,1000
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,coverage,0.9047286212914485,0.8909031413612566,0.918848167539267,1000
Pima,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,roc_auc,0.7952566567164179,0.7485593283582088,0.8373455223880597,1000
Pima,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,brier_score,0.19527424496595291,0.1786538933977971,0.21197054124976125,1000
Pima,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,ece,0.13417608056285138,0.10949036837310465,0.16216685104803888,1000
Pima,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,coverage,0.6822890625,0.6509765625,0.7135416666666666,1000
Pima,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,roc_auc,0.7952566567164179,0.7485593283582088,0.8373455223880597,1000
Pima,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,brier_score,0.19527424496595291,0.1786538933977971,0.21197054124976125,1000
Pima,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,ece,0.13417608056285138,0.10949036837310465,0.16216685104803888,1000
Pima,model_b_routine_clinical,Random Forest,fixed_recalibration,uncalibrated,coverage,0.6822890625,0.6509765625,0.7135416666666666,1000
Pima,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,roc_auc,0.7900803283582091,0.7415037313432836,0.8327869402985074,1000
Pima,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,brier_score,0.17932712683395755,0.16403692970889286,0.19535418964140125,1000
Pima,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,ece,0.08126691495276962,0.049011295868686994,0.11626561262477851,1000
Pima,model_b_routine_clinical,Random Forest,adaptive_calibration,isotonic,coverage,0.7105885416666666,0.6692057291666667,0.7552083333333334,1000
NHANES,model_b_routine_clinical,XGBoost,naive_transfer,uncalibrated,roc_auc,0.925647324425239,0.9021381785954018,0.9465479605428764,1000
