target_dataset,feature_set,model,scenario,calibration_method,conformal_method,marginal_coverage,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high,average_prediction_set_size,referral_rate,clinical_cost
NHANES,model_b_routine_clinical,XGBoost,fixed_recalibration_source_selected,uncalibrated,multi_objective_dp_shift_atcp,0.8970331588132635,0.897283304246655,0.8773778359511343,0.9144851657940664,1.1038394415357766,0.10383944153577661,0.37347294938917974
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,source_split_conformal,0.9144851657940664,0.9146655031995348,0.8991928446771378,0.9301919720767888,1.006108202443281,0.006108202443280977,0.2931937172774869
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,importance_weighted_source_conformal,0.9153577661431065,0.9155061082024433,0.8996509598603839,0.931522687609075,1.006980802792321,0.006980802792321117,0.2940663176265271
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,target_only_conformal,0.887434554973822,0.8870360674810935,0.8677792321116928,0.9057591623036649,0.956369982547993,0.04363001745200698,0.38830715532286214
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,adaptive_transport_conformal,0.9136125654450262,0.9136154741128564,0.8987783595113438,0.9293193717277487,1.0052356020942408,0.005235602094240838,0.29232111692844676
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,weighted_target_dominant_atcp,0.9083769633507853,0.9082053519488075,0.8922120418848167,0.924956369982548,0.9930191972076788,0.006980802792321117,0.3010471204188482
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,shift_aware_source_trust_atcp,0.887434554973822,0.8870360674810935,0.8677792321116928,0.9057591623036649,0.956369982547993,0.04363001745200698,0.38830715532286214
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,class_conditional_weighted_atcp,0.9406631762652705,0.9409976730657358,0.9271160558464223,0.9546247818499127,1.1413612565445026,0.14136125654450263,0.41535776614310643
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,risk_asymmetric_shift_atcp,0.8926701570680629,0.893152995927865,0.8738874345549738,0.9101221640488656,1.12565445026178,0.1256544502617801,0.4040139616055846
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,dp_shift_atcp,0.8970331588132635,0.897283304246655,0.8773778359511343,0.9144851657940664,1.1038394415357766,0.10383944153577661,0.37347294938917974
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,safety_gated_atcp,0.9083769633507853,0.9082053519488075,0.8922120418848167,0.924956369982548,0.9930191972076788,0.006980802792321117,0.3010471204188482
NHANES,model_b_routine_clinical,XGBoost,adaptive_calibration_target_selected,beta,safety_gated_shift_atcp,0.887434554973822,0.8870360674810935,0.8677792321116928,0.9057591623036649,0.956369982547993,0.04363001745200698,0.38830715532286214
