target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
Pima,model_a_screening,CatBoost,label_shift_adjusted,label_shift,384,0.7011940298507463,0.48586097735190326,0.6588541666666666,0.5223880597014925,0.26119402985074625,0.872,0.3482587064676617,0.2253581231517193,0.6423062475444051,0.1344222392301299,0.32811913884826827,0.576369595436935,0.07988168203132626,218,32,99,35
Pima,model_a_screening,CatBoost,fixed_recalibration_source_selected,uncalibrated,384,0.7011940298507463,0.48586097735190326,0.6510416666666666,0.0,0.0,1.0,0.0,0.2899372766251305,0.9687833696662977,0.26965187380807704,0.41671645119551215,0.5765042454238389,1.0668517304658185,250,0,134,0
Pima,model_a_screening,CatBoost,adaptive_calibration_target_selected,platt,384,0.7011940298507463,0.48586097735190326,0.6432291666666666,0.4819277108433735,0.29850746268656714,0.828,0.3686635944700461,0.20881539277284436,0.5979826289537705,0.10925816002009146,0.24232847984217154,0.834217324997576,-0.06349335357855827,207,43,94,40
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,1146,0.9426130642725288,0.8081066218502062,0.8926701570680629,0.6513409961685823,0.8415841584158416,0.9036016949152542,0.734341252699784,0.08210903505043801,0.30940499327564025,0.0941438090390086,0.37045183933605647,0.6847173931457572,-1.3740483888670756,853,91,32,170
NHANES,model_b_routine_clinical,Logistic Regression,label_shift_adjusted,label_shift,1146,0.9426130642725289,0.806479903939923,0.8429319371727748,0.5317919075144508,0.9108910891089109,0.8283898305084746,0.6715328467153284,0.11436279406962682,0.4101807058748184,0.16552706104180775,0.5145414722355832,0.6867963586168118,-1.915658715379644,782,162,18,184
NHANES,model_b_routine_clinical,Logistic Regression,fixed_recalibration_source_selected,beta,1146,0.9426130642725289,0.806479903939923,0.9092495636998255,0.8141025641025641,0.6287128712871287,0.9692796610169492,0.7094972067039106,0.06574636519779489,0.2235114340407211,0.023467046369069617,0.13252145201119914,1.0837054310193008,0.12869767745867186,915,29,75,127
NHANES,model_b_routine_clinical,Logistic Regression,adaptive_calibration_target_selected,isotonic,1146,0.9386170078872293,0.7781389832471306,0.9092495636998255,0.810126582278481,0.6336633663366337,0.9682203389830508,0.7111111111111111,0.06697051716693833,0.24432805450130443,0.019071402285973163,0.18881745983213738,0.8762042968699797,-0.03183716188952628,914,30,74,128
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer,uncalibrated,384,0.8059402985074628,0.6352730123266837,0.7213541666666666,0.6483516483516484,0.44029850746268656,0.872,0.5244444444444445,0.1813104633837397,0.5345716147682485,0.09716003448433903,0.3613093573672379,0.7512993327663324,0.20059992470141438,218,32,75,59
Pima,model_b_routine_clinical,Logistic Regression,label_shift_adjusted,label_shift,384,0.8059402985074628,0.6352730123266837,0.71875,0.5607476635514018,0.8955223880597015,0.624,0.6896551724137931,0.21250332791107737,0.6494703470897077,0.20115845769051724,0.3929883252754085,0.7513310230659768,-1.0853951334676355,156,94,14,120
Pima,model_b_routine_clinical,Logistic Regression,fixed_recalibration_source_selected,beta,384,0.8059402985074628,0.6352730123266837,0.7369791666666666,0.632,0.5895522388059702,0.816,0.61003861003861,0.17171943105091428,0.507573474314916,0.040261455383413754,0.18383555589678313,0.9019038335531162,-0.11482405131313222,204,46,55,79
Pima,model_b_routine_clinical,Logistic Regression,adaptive_calibration_target_selected,platt,384,0.8059402985074628,0.6352730123266837,0.7369791666666666,0.6434782608695652,0.5522388059701493,0.836,0.5943775100401606,0.17340175871558192,0.5150466702657844,0.06314012486105988,0.30549993842910883,0.8686971722136974,-0.1320837085193687,209,41,60,74
NHANES,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,1146,0.9268438496392013,0.7507084066629477,0.8699825479930192,0.6015325670498084,0.7772277227722773,0.8898305084745762,0.6781857451403888,0.08815358036172116,0.2924880625228543,0.07734489287187239,0.5407274847514392,0.8650136306451318,-1.043207223416312,840,104,45,157
NHANES,model_b_routine_clinical,Random Forest,label_shift_adjusted,label_shift,1146,0.9268438496392013,0.7507084066629477,0.8638743455497382,0.5782312925170068,0.8415841584158416,0.8686440677966102,0.6854838709677419,0.11264301872737363,0.3817985791353242,0.15314991930116495,0.4655256911004929,0.864977841425993,-1.725699418422427,820,124,32,170
NHANES,model_b_routine_clinical,Random Forest,fixed_recalibration_source_selected,isotonic,1146,0.922842549085417,0.7272523972588517,0.9057591623036649,0.873015873015873,0.5445544554455446,0.9830508474576272,0.6707317073170732,0.07278207843323801,0.26756537953723314,0.016693413525971833,0.5,0.8854610854667849,0.056313526416384596,928,16,92,110
NHANES,model_b_routine_clinical,Random Forest,adaptive_calibration_target_selected,isotonic,1146,0.922842549085417,0.7272523972588517,0.9057591623036649,0.873015873015873,0.5445544554455446,0.9830508474576272,0.6707317073170732,0.07278207843323801,0.26756537953723314,0.016693413525971833,0.5,0.8854610854667849,0.056313526416384596,928,16,92,110
Pima,model_b_routine_clinical,Random Forest,naive_transfer,uncalibrated,384,0.795910447761194,0.6017576642683192,0.6822916666666666,0.62,0.23134328358208955,0.924,0.33695652173913043,0.1951174328211985,0.5632781533869856,0.12924509635181716,0.30841199619569964,0.9229909840305366,0.5858292470771751,231,19,103,31
Pima,model_b_routine_clinical,Random Forest,label_shift_adjusted,label_shift,384,0.795910447761194,0.6017576642683192,0.7161458333333334,0.5634517766497462,0.8283582089552238,0.656,0.6706948640483383,0.207158837266326,0.6216971440805633,0.18639016938021344,0.36529926837336035,0.9227004703372579,-0.9942238496489777,164,86,23,111
Pima,model_b_routine_clinical,Random Forest,fixed_recalibration_source_selected,isotonic,384,0.7906567164179104,0.5837545992398786,0.7161458333333334,0.6146788990825688,0.5,0.832,0.551440329218107,0.17904587054499613,0.5532068414769501,0.07488392188243181,0.3910924290156039,0.7679965832810609,-0.10958685104393971,208,42,67,67
