target_dataset,feature_set,model,selection_split,calibration_method,selection_n,selection_ece,selection_brier,selected
NHANES,model_c_extended_transport,Random Forest,target_calibration_select,platt,573,0.02866057993958386,0.07202824198295067,False
NHANES,model_c_extended_transport,Random Forest,target_calibration_select,temperature,573,0.102159067739636,0.0901824776286397,False
NHANES,model_c_extended_transport,Random Forest,target_calibration_select,isotonic,573,0.016320555959809437,0.07045162439398765,True
NHANES,model_c_extended_transport,Random Forest,target_calibration_select,beta,573,0.028474202727024382,0.07197105533600885,False
Pima,model_c_extended_transport,Random Forest,target_calibration_select,uncalibrated,192,0.10478279641954556,0.1821470194478009,False
Pima,model_c_extended_transport,Random Forest,target_calibration_select,platt,192,0.044812030583535695,0.17259075000371915,True
Pima,model_c_extended_transport,Random Forest,target_calibration_select,temperature,192,0.09078877745915247,0.17818491718568796,False
Pima,model_c_extended_transport,Random Forest,target_calibration_select,isotonic,192,0.06280209007176447,0.17252846745298211,False
Pima,model_c_extended_transport,Random Forest,target_calibration_select,beta,192,0.08179153835170963,0.17364090243480054,False
NHANES,model_c_extended_transport,XGBoost,target_calibration_select,uncalibrated,573,0.0766784341586432,0.07726920464713151,False
NHANES,model_c_extended_transport,XGBoost,target_calibration_select,platt,573,0.04797634747456853,0.06652316743587545,False
NHANES,model_c_extended_transport,XGBoost,target_calibration_select,temperature,573,0.04386370378097556,0.0668558339036906,False
NHANES,model_c_extended_transport,XGBoost,target_calibration_select,isotonic,573,0.028135492403397775,0.06448680468416212,True
NHANES,model_c_extended_transport,XGBoost,target_calibration_select,beta,573,0.032594148518391784,0.06526161478290772,False
Pima,model_c_extended_transport,XGBoost,target_calibration_select,uncalibrated,192,0.30624755831970185,0.2880146172506475,False
Pima,model_c_extended_transport,XGBoost,target_calibration_select,platt,192,0.1242265657062037,0.15991856820700587,False
Pima,model_c_extended_transport,XGBoost,target_calibration_select,temperature,192,0.1824896874118283,0.18648105752055724,False
Pima,model_c_extended_transport,XGBoost,target_calibration_select,isotonic,192,0.08534531277114946,0.1618944055387821,True
Pima,model_c_extended_transport,XGBoost,target_calibration_select,beta,192,0.1233858764306042,0.1600684890013112,False
NHANES,model_c_extended_transport,LightGBM,target_calibration_select,uncalibrated,573,0.09959563523823453,0.09523114728517394,False
NHANES,model_c_extended_transport,LightGBM,target_calibration_select,platt,573,0.017612717596788514,0.06853424415382563,True
NHANES,model_c_extended_transport,LightGBM,target_calibration_select,temperature,573,0.07740907435653338,0.08102151869316795,False
NHANES,model_c_extended_transport,LightGBM,target_calibration_select,isotonic,573,0.02269660332111128,0.06894422531586969,False
NHANES,model_c_extended_transport,LightGBM,target_calibration_select,beta,573,0.02066051001348875,0.06824318702926688,False
Pima,model_c_extended_transport,LightGBM,target_calibration_select,uncalibrated,192,0.16439414949026324,0.19734328414108857,False
Pima,model_c_extended_transport,LightGBM,target_calibration_select,platt,192,0.08184038645214958,0.18375076543002114,False
Pima,model_c_extended_transport,LightGBM,target_calibration_select,temperature,192,0.0976347884107505,0.18472505604126147,False
Pima,model_c_extended_transport,LightGBM,target_calibration_select,isotonic,192,0.07034351542172754,0.17574602063034375,True
Pima,model_c_extended_transport,LightGBM,target_calibration_select,beta,192,0.08762330400378152,0.18218791820321192,False
NHANES,model_c_extended_transport,CatBoost,target_calibration_select,uncalibrated,573,0.06243309724717652,0.0763678424746655,False
NHANES,model_c_extended_transport,CatBoost,target_calibration_select,platt,573,0.0263066395656883,0.07015711046363055,True
NHANES,model_c_extended_transport,CatBoost,target_calibration_select,temperature,573,0.039541443892045225,0.07190192595094917,False
NHANES,model_c_extended_transport,CatBoost,target_calibration_select,isotonic,573,0.034013427971390904,0.0707861038603285,False
NHANES,model_c_extended_transport,CatBoost,target_calibration_select,beta,573,0.032046204983788254,0.07029498065522301,False
Pima,model_c_extended_transport,CatBoost,target_calibration_select,uncalibrated,192,0.29690611033331077,0.2874136750893506,False
Pima,model_c_extended_transport,CatBoost,target_calibration_select,platt,192,0.057199465600237795,0.17206155071237994,True
Pima,model_c_extended_transport,CatBoost,target_calibration_select,temperature,192,0.11413893235058573,0.19225580111907506,False
Pima,model_c_extended_transport,CatBoost,target_calibration_select,isotonic,192,0.0738772598268076,0.17442594218247023,False
Pima,model_c_extended_transport,CatBoost,target_calibration_select,beta,192,0.06511551186788683,0.17263246722968492,False
