target_dataset,feature_set,model,scenario,calibration_method,conformal_method,confidence_level,class_0_target_confidence,class_1_target_confidence,gate_validation_coverage,gate_validation_class_0_coverage,gate_validation_class_1_coverage,gate_validation_class_gap,gate_validation_set_size,gate_validation_clinical_cost,gate_validation_referral_rate,multi_objective_score,selected_source_weight,marginal_coverage,class_0_conditional_coverage,class_1_conditional_coverage,class_coverage_gap_abs,average_prediction_set_size,referral_rate,clinical_cost
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,dp_shift_atcp,0.95,0.9199999999999999,0.97,0.9270833333333334,0.928,0.9253731343283582,0.0026268656716418315,1.625,1.4270833333333333,0.625,2.1813190298507457,0.0001636228412591333,0.9192708333333334,0.888,0.9776119402985075,0.0896119402985075,1.6692708333333333,0.6692708333333334,1.4505208333333333
Pima,model_a_screening,Random Forest,adaptive_calibration_target_selected,uncalibrated,multi_objective_dp_shift_atcp,0.95,0.9199999999999999,0.97,0.9270833333333334,0.928,0.9253731343283582,0.0026268656716418315,1.625,1.4270833333333333,0.625,2.1813190298507457,0.0001636228412591333,0.9453125,0.972,0.8955223880597015,0.07647761194029845,1.6328125,0.6328125,1.4661458333333333
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,dp_shift_atcp,0.8,0.75,0.8,0.8132635253054101,0.7966101694915254,0.8910891089108911,0.09447893941936569,1.2600349040139616,0.7835951134380453,0.2600349040139616,1.607861515586291,0.0004756427040720772,0.7521815008726004,0.7404661016949152,0.806930693069307,0.06646459137439176,1.1509598603839442,0.15095986038394416,0.6858638743455497
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.8,0.75,0.8,0.8132635253054101,0.7966101694915254,0.8910891089108911,0.09447893941936569,1.2600349040139616,0.7835951134380453,0.2600349040139616,1.607861515586291,0.0004756427040720772,0.7521815008726004,0.7404661016949152,0.806930693069307,0.06646459137439176,1.1509598603839442,0.15095986038394416,0.6858638743455497
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,dp_shift_atcp,0.85,0.7999999999999999,0.85,0.8656195462478184,0.8432203389830508,0.9702970297029703,0.12707669071991945,1.418848167539267,0.9930191972076788,0.418848167539267,1.9003008999542246,0.0004756427040720772,0.800174520069808,0.788135593220339,0.8564356435643564,0.06830005034401743,1.2582897033158813,0.2582897033158813,0.8176265270506108
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.85,0.7999999999999999,0.85,0.8656195462478184,0.8432203389830508,0.9702970297029703,0.12707669071991945,1.418848167539267,0.9930191972076788,0.418848167539267,1.9003008999542246,0.0004756427040720772,0.800174520069808,0.788135593220339,0.8564356435643564,0.06830005034401743,1.2582897033158813,0.2582897033158813,0.8176265270506108
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,dp_shift_atcp,0.9,0.85,0.9,0.8970331588132635,0.8792372881355932,0.9801980198019802,0.10096073166638697,1.4973821989528795,1.111692844677138,0.4973821989528796,1.9200274849341357,0.0004756427040720772,0.8595113438045375,0.8432203389830508,0.9356435643564357,0.09242322537338488,1.3970331588132636,0.3970331588132635,0.9799301919720768
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.9,0.85,0.9,0.8970331588132635,0.8792372881355932,0.9801980198019802,0.10096073166638697,1.4973821989528795,1.111692844677138,0.4973821989528796,1.9200274849341357,0.0004756427040720772,0.9092495636998255,1.0,0.48514851485148514,0.5148514851485149,1.2111692844677138,0.2111692844677138,0.8760907504363001
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,dp_shift_atcp,0.92,0.87,0.92,0.9144851657940664,0.9004237288135594,0.9801980198019802,0.07977429098842082,1.5392670157068062,1.1780104712041886,0.5392670157068062,1.967654455679839,0.0004756427040720772,0.8830715532286213,0.8686440677966102,0.9504950495049505,0.08185098170834026,1.4520069808027922,0.45200698080279234,1.0558464223385688
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.92,0.87,0.92,0.9144851657940664,0.9004237288135594,0.9801980198019802,0.07977429098842082,1.5392670157068062,1.1780104712041886,0.5392670157068062,1.967654455679839,0.0004756427040720772,0.9319371727748691,1.0,0.6138613861386139,0.38613861386138615,1.301047120418848,0.3010471204188482,0.9424083769633508
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,dp_shift_atcp,0.95,0.9199999999999999,0.95,0.9546247818499127,0.9449152542372882,1.0,0.05508474576271183,1.6719022687609075,1.3891797556719023,0.6719022687609075,2.1378627207383087,0.0004756427040720772,0.93717277486911,0.9300847457627118,0.9702970297029703,0.04021228394025844,1.5802792321116927,0.5802792321116929,1.2443280977312392
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,multi_objective_dp_shift_atcp,0.95,0.9199999999999999,0.95,0.9546247818499127,0.9449152542372882,1.0,0.05508474576271183,1.6719022687609075,1.3891797556719023,0.6719022687609075,2.1378627207383087,0.0004756427040720772,0.93717277486911,0.9300847457627118,0.9702970297029703,0.04021228394025844,1.5802792321116927,0.5802792321116929,1.2443280977312392
NHANES,model_a_screening,XGBoost,label_shift_adjusted,label_shift,dp_shift_atcp,0.8,0.75,0.8,0.8132635253054101,0.7966101694915254,0.8910891089108911,0.09447893941936569,1.2600349040139616,0.7835951134380453,0.2600349040139616,1.607861515586291,0.0004756427040720772,0.7521815008726004,0.7404661016949152,0.806930693069307,0.06646459137439176,1.1509598603839442,0.15095986038394416,0.6858638743455497
NHANES,model_a_screening,XGBoost,label_shift_adjusted,label_shift,multi_objective_dp_shift_atcp,0.8,0.75,0.8,0.8132635253054101,0.7966101694915254,0.8910891089108911,0.09447893941936569,1.2600349040139616,0.7835951134380453,0.2600349040139616,1.607861515586291,0.0004756427040720772,0.7521815008726004,0.7404661016949152,0.806930693069307,0.06646459137439176,1.1509598603839442,0.15095986038394416,0.6858638743455497
NHANES,model_a_screening,XGBoost,label_shift_adjusted,label_shift,dp_shift_atcp,0.85,0.7999999999999999,0.85,0.8656195462478184,0.8432203389830508,0.9702970297029703,0.12707669071991945,1.418848167539267,0.9930191972076788,0.418848167539267,1.9003008999542246,0.0004756427040720772,0.800174520069808,0.788135593220339,0.8564356435643564,0.06830005034401743,1.2582897033158813,0.2582897033158813,0.8176265270506108
NHANES,model_a_screening,XGBoost,label_shift_adjusted,label_shift,multi_objective_dp_shift_atcp,0.85,0.7999999999999999,0.85,0.8656195462478184,0.8432203389830508,0.9702970297029703,0.12707669071991945,1.418848167539267,0.9930191972076788,0.418848167539267,1.9003008999542246,0.0004756427040720772,0.800174520069808,0.788135593220339,0.8564356435643564,0.06830005034401743,1.2582897033158813,0.2582897033158813,0.8176265270506108
NHANES,model_a_screening,XGBoost,label_shift_adjusted,label_shift,dp_shift_atcp,0.9,0.85,0.9,0.8970331588132635,0.8792372881355932,0.9801980198019802,0.10096073166638697,1.4973821989528795,1.111692844677138,0.4973821989528796,1.9200274849341357,0.0004756427040720772,0.8595113438045375,0.8432203389830508,0.9356435643564357,0.09242322537338488,1.3970331588132636,0.3970331588132635,0.9799301919720768
