target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage,class_coverage_gap_abs,clinical_cost,single_label_rate,referral_rate,uncertain_set_rate,diabetes_prevalence_in_referred,mean_confidence_referred,mean_confidence_non_referred,non_referred_error_rate,selected_source_weight,source_weight_strategy,gate_validation_coverage,fallback_used,mean_psi,domain_classifier_auc,prevalence_gap,shift_formula_source_weight,gate_validation_set_size,class_0_target_confidence,class_1_target_confidence,gate_validation_class_0_coverage,gate_validation_class_1_coverage,gate_validation_class_gap,gate_validation_clinical_cost,gate_validation_referral_rate,multi_objective_score,safety_decision,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,safety_gated_atcp,384,0.8489583333333334,-0.0010416666666666075,1.7083333333333333,0.5853658536585367,0.2916666666666667,0.0,0.768,1.0,0.23199999999999998,1.5677083333333333,0.2916666666666667,0.7083333333333334,0.7083333333333334,0.29411764705882354,0.7019668832167154,0.9354547840057424,0.5178571428571429,0.02,grid_selected,0.90625,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.7447916666666667,,,,,,,,,weighted_atcp_accepted,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,safety_gated_shift_atcp,384,0.8098958333333334,-0.04010416666666661,1.6328125,0.6124401913875598,0.3671875,0.0,0.708,1.0,0.29200000000000004,1.4557291666666667,0.3671875,0.6328125,0.6328125,0.2716049382716049,0.6822961609124498,0.92133305632528,0.5177304964539007,0.0001636228412591333,shift_formula,0.8489583333333334,True,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.640625,,,,,,,,,target_only_fallback,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,multi_objective_safety_gated_atcp,384,0.8098958333333334,-0.04010416666666661,1.6328125,0.6124401913875598,0.3671875,0.0,0.708,1.0,0.29200000000000004,1.4557291666666667,0.3671875,0.6328125,0.6328125,0.2716049382716049,0.6822961609124498,0.92133305632528,0.5177304964539007,0.0,multi_objective,0.859375,True,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.6510416666666667,,,,,0.21599999999999997,1.4427083333333333,,3.2417760092645347,target_only_fallback,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.85,multi_objective_dp_shift_atcp,384,0.8098958333333334,-0.04010416666666661,1.6328125,0.6124401913875598,0.3671875,0.0,0.708,1.0,0.29200000000000004,1.4557291666666667,0.3671875,0.6328125,0.6328125,0.2716049382716049,0.6822961609124498,0.92133305632528,0.5177304964539007,0.0001636228412591333,shift_formula,0.8385416666666666,True,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.3697916666666667,0.7999999999999999,0.85,0.808,0.8955223880597015,0.08752238805970147,1.046875,0.3697916666666667,1.8078460820895523,target_only_fallback,,,
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.9,source_split_conformal,384,0.9140625,0.014062499999999978,1.8333333333333333,0.5454545454545455,0.16666666666666666,0.0,0.868,1.0,0.132,1.7526041666666667,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.321875,0.7329333260054248,0.9557384956539663,0.515625,,,,,,,,,,,,,,,,,,,0.9129774305555555,0.8854166666666666,0.9388671874999999
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.9,importance_weighted_source_conformal,384,0.9244791666666666,0.024479166666666607,1.859375,0.5378151260504201,0.140625,0.0,0.884,1.0,0.11599999999999999,1.7942708333333333,0.140625,0.859375,0.859375,0.3303030303030303,0.739039956599541,0.9596804141803941,0.5370370370370371,,,,,,,,,,,,,,,,,,,0.9239149305555556,0.8996744791666667,0.9479166666666666
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.9,target_only_conformal,384,0.875,-0.025000000000000022,1.7526041666666667,0.5705794947994056,0.24739583333333334,0.0,0.808,1.0,0.19199999999999995,1.6302083333333333,0.24739583333333334,0.7526041666666666,0.7526041666666666,0.30103806228373703,0.7132384782437803,0.9429474508540764,0.5052631578947369,,,,,,,,,,,,,,,,,,,0.8737152777777777,0.8411458333333334,0.9036458333333334
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.9,adaptive_transport_conformal,384,0.9114583333333334,0.011458333333333348,1.828125,0.5470085470085471,0.171875,0.0,0.864,1.0,0.136,1.7447916666666667,0.171875,0.828125,0.828125,0.32075471698113206,0.7316843652023003,0.9550045440796711,0.5151515151515151,1.0,unweighted,,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,,,,,,,,,,,0.9101909722222223,0.8814453125,0.9362630208333332
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.9,weighted_target_dominant_atcp,384,0.8697916666666666,-0.030208333333333393,1.7395833333333333,0.5748502994011976,0.2604166666666667,0.0,0.8,1.0,0.19999999999999996,1.609375,0.2604166666666667,0.7395833333333334,0.7395833333333334,0.29577464788732394,0.7099501573789027,0.9408008334798146,0.5,0.0,grid_selected,0.9114583333333334,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,1.7604166666666667,,,,,,,,,,0.8685850694444446,0.8359375,0.8998046874999999
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,0.9,shift_aware_source_trust_atcp,384,0.8697916666666666,-0.030208333333333393,1.7395833333333333,0.5748502994011976,0.2604166666666667,0.0,0.8,1.0,0.19999999999999996,1.609375,0.2604166666666667,0.7395833333333334,0.7395833333333334,0.29577464788732394,0.7099501573789027,0.9408008334798146,0.5,0.0001636228412591333,shift_formula,,False,1.8605885662626152,1.0,0.26072405911182006,0.0001636228412591333,,,,,,,,,,,0.8685850694444446,0.8359375,0.8998046874999999
